Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location
810190,barcelona,Apartment,From 17 April,3411-3845,no deposit,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/810190,Barcelona
512756,barcelona,Apartment,From 21 May,2668,bills included,Whole 3 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/512756,Barcelona
465842,barcelona,Apartment,From 21 May,2668,bills included,Whole 3 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/465842,Barcelona
1163787,barcelona,Apartment,From 29 June,1690,some bills included,Bright furnished apartment in the upper area of Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1163787,Barcelona
120979,barcelona,Room,From 2 July,604-805,bills included,Cozy room in 7-bedroom apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/120979,Eixample
120215,barcelona,Room,From 18 July,769,instant booking,Sunny room in shared apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/120215,Eixample
134057,barcelona,Apartment,From 2 May,1600,some bills included,2-bedroom apartment for rent in Poble-sec Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/134057,Poble-sec
135629,barcelona,Room,From 2 July,630,some bills included,Light room in apartment by Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/135629,Eixample
155490,barcelona,Room,From 1 August,515,bills included,Cozy room in 7-bedroom apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/155490,Eixample
601330,barcelona,Room,From 30 June,790,instant booking,Room with terrace in Gothic Quarter,https://www.spotahome.com/barcelona/for-rent:rooms/601330,Gothic Quarter
668413,barcelona,Apartment,From 12 April,3421-5654,no deposit,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/668413,Barcelona
120218,barcelona,Room,From 4 July,649,instant booking,Interior room in shared apartment in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/120218,Eixample
1008463,barcelona,Room,From 31 July,450,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1008463,Barcelona
1196610,barcelona,Apartment,From 16 June,1900,some bills included,2-bedroom apartment for rent in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1196610,El Raval
760888,barcelona,Apartment,From 24 May,2950,no deposit,1-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/760888,Barcelona
466286,barcelona,Room,From 4 July,729,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/466286,Barcelona
166868,barcelona,Room,From 30 June,670,instant booking,Live the coliving experience in the heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/166868,Barcelona
601303,barcelona,Room,From 1 July,770,instant booking,Room with terrace in Gothic Quarter,https://www.spotahome.com/barcelona/for-rent:rooms/601303,Gothic Quarter
641651,barcelona,Apartment,From 14 April,4384-4807,no deposit,Whole 2 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/641651,Barcelona
1175860,barcelona,Apartment,From 19 April,3421-3905,no deposit,2-bedroom apartment for rent in Barcelona Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1175860,Barcelona
372803,barcelona,Room,From 3 July,725,some bills included,Room for rent in 13-bedroom apartment in Sant Gervasi,https://www.spotahome.com/barcelona/for-rent:rooms/372803,Sant Gervasi
945108,barcelona,Room,From 2 July,490,bills included,Room for rent in 3-bedroom apartment in Horta Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/945108,Horta
592488,barcelona,Room,From 31 May,1050,instant booking,Room with terrace and private bathroom next to La Rambla,https://www.spotahome.com/barcelona/for-rent:rooms/592488,La Rambla
