Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link
994793,barcelona,Room,From 30 April,625,instant booking,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/994793
1013046,barcelona,Room,From 3 March,861,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1013046
948888,barcelona,Room,From 7 March,750,some bills included,Room for rent in 2-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/948888
948889,barcelona,Room,From 7 March,750,some bills included,Room for rent in 2-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/948889
929443,barcelona,Room,From 3 March,809,bills included,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/929443
634377,barcelona,Room,From 1 May,400,bills included,Room in shared apartment in El Prat de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/634377
929897,barcelona,Room,From 3 March,842,bills included,Room for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/929897
113981,barcelona,Room,From 2 March,900,bills included,"Furnished room in shared apartment in El Born, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/113981
372781,barcelona,Room,From 5 March,682,some bills included,Furnished room in 14-bedroom apartment in Sant Gervasi,https://www.spotahome.com/barcelona/for-rent:rooms/372781
372771,barcelona,Room,From 5 March,683,some bills included,Cozy room in 14-bedroom apartment in Sant Gervasi,https://www.spotahome.com/barcelona/for-rent:rooms/372771
443789,barcelona,Apartment,From 30 April,1500,bills included,"1-bedroom apartment for rent in La Barceloneta, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/443789
927064,barcelona,Room,From 3 March,770,bills included,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/927064
866985,barcelona,Apartment,From 2 March,1400,instant booking,Live the coliving experience in the heart of Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/866985
94427,barcelona,Apartment,From 3 March,1800,bills included,"1 Bedroom Apartment with AC, Utilities and Patio - Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/94427
361032,barcelona,Room,From 3 March,620,some bills included,"Cute room for rent in El Clot, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/361032
961363,barcelona,Studio,From 3 March,1600,some bills included,Whole 1 bedrooms apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/961363
302437,barcelona,Room,From 3 April,550,bills included,Cosy room in 4-bedroom apartment in L'Esquerra de l'Eixample,https://www.spotahome.com/barcelona/for-rent:rooms/302437
1190064,barcelona,Room,From 2 May,470-590,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1190064
1210087,barcelona,Room,From 3 March,700,bills included,"Bedroom with Double Bed in  Ciutat Vella, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/1210087
640438,barcelona,Apartment,From 1 June,1000,bills included,1-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/640438
272935,barcelona,Apartment,From 30 March,1800,some bills included,"2-bedroom apartment for rent in Horta-Guinardó, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/272935
1183108,barcelona,Room,From 2 March,700,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1183108
1081070,barcelona,Room,From 2 March,550,some bills included,Room in shared apartment in L'Hospitalet de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/1081070
265368,barcelona,Apartment,From 2 March,1800,spotahome plus,"Light 1-bedroom apartment for rent in Sant Andreu, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/265368
1020050,barcelona,Room,From 3 March,780,no deposit,Room for rent in 13-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1020050
952277,barcelona,Room,From 2 March,585,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/952277
929903,barcelona,Room,From 3 March,842,bills included,Room for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/929903
297601,barcelona,Room,From 28 April,550,bills included,"Spacious room in 4-bedroom house in La Floresta, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/297601
270804,barcelona,Apartment,From 2 March,1900,bills included,"Cozy 3-bedroom apartment for rent in L'Hospitalet, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/270804
953162,barcelona,Room,From 5 March,805,bills included,Rooms for rent in 6-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/953162
872607,barcelona,Room,From 2 March,700,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/872607
955969,barcelona,Room,From 1 May,650,bills included,Room for rent in 2-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/955969
