Reference Number;Bedrooms;Bathrooms;Area
982272;1;No info;No info
982270;1;No info;No info
982286;1;No info;No info
982294;1;No info;No info
929411;4;2;No info
372801;13;2;280
990140;5;2;No info
955187;3;2;72
596055;1;1;50
1007862;1;1;80
1020047;13;5;350
931521;3;1;70
931522;3;1;70
927184;7;3;190
215711;7;1;140
927183;7;3;190
973214;1;1;No info
1172424;3;2;62
1172423;3;2;62
1020054;13;5;350
95340;9;2;230
1076482;5;2;120
1064370;6;No info;No info
205401;4;1;124
754839;4;2;140
982322;1;No info;No info
982314;1;No info;No info
982308;1;No info;No info
982334;1;No info;No info
982330;1;No info;No info
982312;1;No info;No info
982310;1;No info;No info
982306;1;No info;No info
982326;1;No info;No info
982304;1;No info;No info
982332;1;No info;No info
982320;1;No info;No info
982318;1;No info;No info
982316;1;No info;No info
894062;2;1;20
886474;2;1;20
894063;2;1;20
886476;2;1;20
886477;2;1;20
886472;2;1;20
878843;2;1;20
894061;2;1;20
878842;2;1;20
886473;2;1;20
724424;2;1;60
1164449;3;1;75
925222;4;2;No info
780707;8;2;No info
962799;5;No info;No info
1196108;2;No info;No info
204932;4;2;170
512471;7;2;190
131444;5;2;No info
640625;2;2;100
265384;3;1;No info
201519;1;16;No info
594300;4;1;75
351485;4;2;86
1085554;4;2;No info
1008888;2;1;65
592489;4;No info;No info
1218458;5;2;150
103908;4;1;120
1088837;6;2;100
127992;6;4;160
958185;4;1;No info
1173533;5;2;80
969485;2;1;65
1202218;2;2;100
635312;3;1;80
1196103;No info;No info;No info
601328;5;2;75
1165887;1;32;No info
131434;5;2;No info
780734;4;2;No info
780735;4;2;No info
780733;4;2;No info
780732;4;2;No info
1091697;1;1;No info
94934;4;1;80
1196123;1;No info;No info
166585;5;2;130
592507;4;No info;No info
281343;2;1;100
1013050;8;No info;No info
133308;8;4;200
426452;5;2;180
443848;3;1;70
517331;1;No info;No info
229676;5;3;100
735434;4;2;No info
321836;9;4;150
1051892;5;2;No info
