Reference Number,Bedrooms,Flatmates,Bathrooms,Area
925222,No info,4,2,No info
780707,No info,8,2,No info
962799,No info,5,No info,No info
1196108,2,No info,No info,No info
204932,No info,4,2,170
512471,No info,7,2,190
131444,No info,5,2,No info
640625,No info,2,2,100
265384,3,No info,1,No info
201519,No info,No info,1,16
594300,No info,4,1,75
351485,No info,4,2,86
1085554,No info,4,2,No info
1008888,2,No info,1,65
592489,No info,4,No info,No info
1218458,No info,5,2,150
103908,No info,4,1,120
1088837,No info,6,2,100
127992,No info,6,4,160
958185,No info,4,1,No info
1173533,No info,5,2,80
969485,2,No info,1,65
1202218,No info,2,2,100
635312,3,No info,1,80
1196103,No info,No info,No info,No info
601328,No info,5,2,75
1165887,No info,No info,1,32
131434,No info,5,2,No info
780734,No info,4,2,No info
780735,No info,4,2,No info
780733,No info,4,2,No info
780732,No info,4,2,No info
1091697,1,No info,1,No info
94934,No info,4,1,80
1196123,1,No info,No info,No info
927069,No info,6,2,150
166585,No info,5,2,130
592507,No info,4,No info,No info
281343,No info,2,1,100
1013050,No info,8,No info,No info
133308,No info,8,4,200
426452,No info,5,2,180
443848,No info,3,1,70
517331,No info,No info,1,No info
229676,No info,5,3,100
735434,No info,4,2,No info
321836,No info,9,4,150
1051892,No info,5,2,No info
650167,1,No info,1,80
127987,No info,6,4,160
931844,No info,8,2,140
124462,2,No info,2,110
1089741,No info,6,2,120
952843,No info,8,No info,133
1014842,No info,No info,1,40
1007849,No info,5,2,No info
936155,No info,4,3,130
84403,No info,5,2,No info
337400,No info,No info,No info,No info
577222,No info,8,3,250
624009,No info,5,2,80
1196104,1,No info,No info,No info
207726,2,No info,2,58
213409,No info,5,1,105
1085595,3,No info,2,60
1169111,2,No info,2,67
309517,No info,5,2,120
985254,No info,5,2,100
985255,No info,5,2,100
1020049,No info,13,5,350
999587,No info,5,No info,No info
1014450,No info,3,1,75
305082,No info,4,1,50
929412,No info,4,2,No info
1205900,No info,3,1,75
754776,No info,3,1,100
954089,No info,2,1,No info
346844,No info,5,2,115
915923,No info,7,3,136
1088851,No info,7,2,150
1011893,No info,4,2,160
1071633,No info,3,No info,No info
977172,3,No info,2,97
305086,No info,6,3,120
92360,2,No info,1,115
372780,No info,14,3,320
950987,No info,6,2,140
637597,1,No info,1,80
1016297,No info,8,3,192
1196121,1,No info,No info,No info
601297,No info,6,2,75
1073233,No info,4,2,100
990493,No info,No info,1,40
651885,No info,No info,1,40
1065328,No info,No info,1,50
291436,No info,No info,1,25
305087,No info,6,3,120
1022782,No info,1,1,50
300487,No info,No info,1,20
952268,No info,5,1,65
276120,2,No info,1,50
592490,No info,4,No info,No info
979689,2,No info,1,60
974311,No info,4,2,No info
974310,No info,4,2,No info
1013052,No info,8,No info,No info
929870,No info,9,2,No info
651154,2,No info,1,65
1090918,No info,5,2,No info
601185,No info,9,3,167
760930,No info,3,2,80
952450,No info,5,No info,101
932280,No info,3,1,85
954981,No info,4,1,90
213841,3,No info,1,100
301718,No info,No info,1,25
949538,No info,No info,1,45
345087,No info,5,2,90
280270,No info,3,No info,No info
943940,No info,4,1,140
459914,No info,5,4,75
1090919,No info,5,2,No info
162156,No info,5,2,No info
1006334,No info,7,No info,No info
100798,No info,3,2,140
1004225,3,No info,1,80
677064,No info,2,No info,No info
372174,No info,5,2,80
204967,No info,7,1,No info
291648,No info,2,1,50
122984,No info,8,2,189
986413,No info,No info,1,50
1051926,No info,3,1,No info
1051925,No info,3,1,No info
1051927,No info,3,1,No info
1020055,No info,13,5,350
918309,No info,2,1,60
1190801,No info,5,2,142
994859,No info,11,No info,No info
1014449,No info,3,1,75
947705,No info,10,4,No info
947704,No info,10,4,No info
84382,No info,5,1,No info
100725,2,No info,1,No info
568258,3,No info,1,76
601316,No info,6,2,75
255902,No info,3,1,No info
865279,No info,5,3,100
1013051,No info,8,No info,No info
440194,3,No info,1,70
1021536,No info,No info,1,32
592719,No info,3,1,70
128485,No info,4,2,75
1069340,No info,3,2,65
970042,No info,8,4,No info
955713,No info,4,1,55
575018,No info,No info,1,26
918416,No info,4,1,90
917849,No info,6,2,No info
1014257,No info,4,2,80
573717,No info,20,15,1000
973203,No info,8,3,No info
131474,No info,6,2,No info
611050,2,No info,2,100
995479,3,No info,1,No info
1185484,No info,6,2,95
270802,3,No info,1,60
270795,3,No info,1,60
1070218,No info,2,1,No info
607361,No info,18,5,460
95339,No info,9,2,230
999828,No info,4,2,No info
1022269,No info,3,1,80
961605,2,No info,1,98
1089862,2,No info,1,75
787047,No info,4,1,90
401628,No info,4,2,100
952752,No info,6,No info,130
444482,2,No info,1,50
929403,No info,6,2,No info
973249,No info,5,No info,No info
302694,No info,7,4,195
1021921,No info,3,No info,No info
830546,2,No info,1,75
1014869,No info,8,3,280
1196194,1,No info,No info,No info
1194875,3,No info,No info,No info
1091469,No info,6,1,100
228038,2,No info,2,110
213407,No info,5,1,105
1003962,No info,7,2,No info
378084,No info,No info,1,45
1196210,1,No info,No info,No info
929549,No info,7,3,No info
623117,No info,3,2,No info
917058,2,No info,1,60
229446,No info,6,2,107
305085,No info,6,3,120
86485,No info,4,2,110
1003489,2,No info,1,80
1007682,1,No info,1,50
621534,1,No info,1,No info
975433,No info,No info,1,46
296118,No info,4,1,102
201540,No info,No info,1,16
777444,No info,4,No info,80
1007789,No info,2,1,No info
952907,No info,6,No info,123
952265,No info,4,1,77
1016326,No info,3,2,150
683891,No info,No info,1,No info
601855,No info,3,1,80
990665,No info,3,1,85
968966,No info,5,2,No info
962851,No info,7,No info,No info
1195903,No info,4,1,100
122985,No info,8,2,189
935192,No info,4,2,117
132366,2,No info,1,70
118256,No info,18,5,460
281770,No info,4,1,80
281363,No info,4,1,80
973201,No info,8,3,No info
144684,No info,4,2,100
958163,1,No info,1,No info
952906,No info,6,No info,123
994627,No info,2,2,70
137742,3,No info,2,88
206397,1,No info,1,60
166588,No info,5,2,130
474143,No info,2,1,50
953462,No info,4,1,No info
989038,2,No info,1,82
460772,2,No info,1,35
1007839,No info,6,No info,No info
1004039,No info,2,No info,No info
372177,No info,5,2,80
559803,1,No info,1,60
815864,2,No info,1,60
676777,No info,1,1,No info
932278,No info,3,1,85
136880,No info,6,1,210
1014908,No info,3,1,500
126685,No info,4,1,80
1217754,No info,5,1,4
1003978,No info,7,2,No info
1013056,No info,8,No info,No info
925033,No info,10,3,210
1091445,No info,6,2,130
592718,No info,3,1,70
973255,No info,No info,1,40
1082740,No info,3,1,16
915921,No info,7,3,136
106725,No info,No info,1,40
90787,No info,5,1,100
927789,No info,5,2,No info
782383,No info,12,1,588
639148,No info,6,2,No info
135624,No info,8,3,200
1185486,No info,6,2,95
977069,No info,4,1,120
305347,No info,7,4,195
400766,No info,11,2,180
317450,2,No info,2,90
512467,No info,7,2,190
118238,No info,3,1,85
973240,No info,6,No info,No info
1064255,2,No info,2,65
100799,No info,3,2,140
577223,No info,8,3,250
604009,No info,No info,No info,70
134151,No info,4,1,99
1006332,No info,7,No info,No info
1006333,No info,7,No info,No info
121958,2,No info,1,45
218410,No info,5,1,90
229443,No info,6,2,107
1187888,No info,4,1,70
396062,No info,5,1,85
202894,No info,5,2,104
726328,No info,2,1,No info
283084,No info,3,1,90
1198335,3,No info,1,112
155485,No info,7,2,150
1004026,No info,2,1,No info
280117,No info,3,1,85
606793,No info,3,No info,No info
1052419,No info,3,2,140
759603,No info,7,5,No info
929445,No info,4,1,No info
953630,No info,4,2,No info
120222,No info,10,4,360
201537,No info,No info,1,16
295379,No info,5,2,No info
1205504,No info,4,4,28
1205503,No info,4,4,28
1205505,No info,4,4,28
372794,No info,8,2,150
602412,No info,8,3,170
267745,No info,6,No info,160
350885,No info,5,2,90
115128,No info,4,1,75
1196129,1,No info,No info,No info
762492,No info,5,2,No info
268881,No info,No info,1,25
409056,No info,4,1,No info
212840,No info,6,2,165
977408,No info,5,2,No info
212836,No info,6,2,165
212841,No info,6,2,165
212837,No info,6,2,165
929875,No info,9,2,No info
952912,No info,8,No info,127
952911,No info,8,No info,127
233485,No info,4,1,75
1179001,2,No info,2,95
1069716,No info,4,No info,No info
952844,No info,8,No info,133
1089073,No info,3,1,60
1176652,2,No info,2,95
599384,1,No info,1,90
933596,No info,No info,1,23
633182,No info,7,No info,No info
263057,No info,No info,1,20
215709,No info,7,1,140
372120,No info,No info,1,20
1205765,2,No info,2,No info
431957,2,No info,1,60
1052421,No info,3,2,140
397756,No info,4,2,130
972214,No info,6,2,No info
1085956,2,No info,2,76
1088836,No info,6,2,100
1196119,1,No info,No info,No info
1196127,1,No info,No info,No info
204966,No info,7,1,No info
983919,No info,No info,1,No info
782381,No info,12,1,588
952750,No info,6,No info,130
1001061,No info,4,2,100
459912,No info,5,4,75
1205898,No info,3,1,75
400771,No info,11,2,180
962172,No info,4,2,120
917850,No info,6,2,No info
768486,No info,6,3,196
406873,No info,2,1,58
126985,No info,8,2,180
929405,No info,6,2,No info
875707,No info,4,No info,No info
931874,No info,6,No info,No info
1196254,1,No info,No info,No info
1196258,1,No info,No info,No info
1020046,No info,13,5,350
724418,2,No info,1,60
913009,No info,2,1,65
268557,1,No info,1,47
392364,No info,5,3,No info
1196227,2,No info,No info,No info
999300,2,No info,2,85
1009682,No info,2,No info,No info
927707,No info,9,No info,No info
937218,2,No info,1,45
433935,No info,No info,1,65
455277,No info,No info,1,28
418013,No info,4,1,No info
95791,No info,No info,1,25
925032,No info,10,3,210
296417,No info,5,3,150
1163804,No info,4,1,75
151173,No info,7,2,132
759976,3,No info,1,77
948426,No info,2,1,No info
